epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,4429.23,0.81021,0.63642,1.31162,0.91105,0.91277,0.93486,0.73372,0.83176,0.52304,1.40967,0.000990365,0.000990365,0.000990365
43,4531.79,0.8001,0.63566,1.29748,0.92789,0.90378,0.93504,0.73413,0.82887,0.5182,1.41174,0.000973861,0.000973861,0.000973861
44,4637.5,0.78778,0.61427,1.28964,0.91937,0.91805,0.93905,0.72682,0.8702,0.51274,1.43307,0.000957358,0.000957358,0.000957358
45,4740.19,0.79959,0.62464,1.29728,0.91413,0.91859,0.93029,0.72762,0.83784,0.53744,1.42148,0.000940855,0.000940855,0.000940855
46,4844.72,0.79646,0.62041,1.29066,0.91534,0.91859,0.94002,0.74696,0.81243,0.52618,1.38629,0.000924352,0.000924352,0.000924352
47,4949.51,0.79089,0.6095,1.29066,0.92688,0.91129,0.93804,0.74694,0.80447,0.51344,1.37983,0.000907848,0.000907848,0.000907848
48,5053.03,0.78791,0.61508,1.28547,0.91751,0.90384,0.94254,0.74281,0.81533,0.51905,1.3959,0.000891345,0.000891345,0.000891345
49,5158.79,0.77665,0.59929,1.27632,0.92656,0.90107,0.93948,0.74922,0.80404,0.51896,1.36734,0.000874842,0.000874842,0.000874842
50,5261.68,0.77756,0.59216,1.2799,0.90694,0.92126,0.94044,0.74356,0.80737,0.50061,1.3923,0.000858338,0.000858338,0.000858338
51,5367.22,0.76419,0.59325,1.27282,0.93054,0.90641,0.9324,0.73974,0.82273,0.50963,1.39776,0.000841835,0.000841835,0.000841835
52,5471.44,0.77073,0.59653,1.27453,0.91662,0.91346,0.93539,0.73931,0.80515,0.51069,1.388,0.000825332,0.000825332,0.000825332
53,5575.26,0.77987,0.59771,1.28351,0.93467,0.90959,0.94024,0.75473,0.80056,0.49734,1.37048,0.000808828,0.000808828,0.000808828
54,5679.05,0.75863,0.57406,1.2685,0.92484,0.91966,0.94315,0.74486,0.82294,0.48599,1.39584,0.000792325,0.000792325,0.000792325
55,5785.3,0.77491,0.58175,1.27407,0.92849,0.9105,0.94183,0.7545,0.78641,0.49053,1.36544,0.000775822,0.000775822,0.000775822
56,5888.06,0.76609,0.5841,1.26744,0.92269,0.90133,0.94317,0.75229,0.78635,0.48958,1.35922,0.000759318,0.000759318,0.000759318
57,5993.45,0.75236,0.56385,1.25985,0.92705,0.92863,0.9467,0.76145,0.76965,0.48708,1.3405,0.000742815,0.000742815,0.000742815
58,6095.68,0.74881,0.56439,1.25803,0.92297,0.90769,0.94057,0.75228,0.78855,0.48919,1.35997,0.000726312,0.000726312,0.000726312
59,6200.06,0.74498,0.55951,1.2585,0.91464,0.92234,0.94574,0.75843,0.78618,0.4746,1.36844,0.000709809,0.000709809,0.000709809
60,6305.78,0.74291,0.56133,1.25977,0.93164,0.91351,0.94457,0.75278,0.79685,0.4772,1.36469,0.000693305,0.000693305,0.000693305
61,6409.58,0.73419,0.55604,1.25369,0.92443,0.91589,0.94177,0.76063,0.76822,0.47058,1.34914,0.000676802,0.000676802,0.000676802
62,6515.65,0.73421,0.54334,1.24792,0.93166,0.91432,0.94431,0.76597,0.75514,0.46913,1.32351,0.000660299,0.000660299,0.000660299
63,6618.82,0.73552,0.55054,1.25292,0.9258,0.93013,0.94384,0.76553,0.7585,0.46966,1.32641,0.000643795,0.000643795,0.000643795
64,6724.42,0.72905,0.54612,1.24276,0.94144,0.92709,0.94733,0.76755,0.75712,0.4687,1.33314,0.000627292,0.000627292,0.000627292
65,6827.34,0.7157,0.53781,1.23892,0.92867,0.92222,0.94576,0.76603,0.76151,0.4626,1.3329,0.000610789,0.000610789,0.000610789
66,6932.6,0.72043,0.53709,1.23873,0.92857,0.92147,0.94803,0.7694,0.76434,0.46127,1.33169,0.000594286,0.000594286,0.000594286
67,7036.61,0.7253,0.53729,1.24546,0.91812,0.92407,0.94622,0.76221,0.77041,0.47023,1.33439,0.000577782,0.000577782,0.000577782
68,7141.14,0.71483,0.53123,1.23709,0.92235,0.92719,0.94796,0.77104,0.75031,0.46973,1.32125,0.000561279,0.000561279,0.000561279
69,7245.94,0.71784,0.52604,1.23263,0.92416,0.92536,0.94693,0.7681,0.75602,0.45804,1.32036,0.000544776,0.000544776,0.000544776
70,7351.48,0.71695,0.5254,1.23365,0.93094,0.91968,0.94668,0.77235,0.74837,0.44947,1.31787,0.000528272,0.000528272,0.000528272
71,7454.2,0.71015,0.52329,1.23263,0.92814,0.92714,0.95265,0.77495,0.73866,0.44481,1.30355,0.000511769,0.000511769,0.000511769
72,7560.47,0.70038,0.51318,1.22592,0.93097,0.92234,0.95127,0.77764,0.74381,0.44958,1.31206,0.000495266,0.000495266,0.000495266
73,7662.88,0.70929,0.51451,1.23095,0.92435,0.92916,0.94996,0.77442,0.74428,0.44778,1.30653,0.000478762,0.000478762,0.000478762
74,7768.37,0.69226,0.50709,1.22008,0.91949,0.9359,0.95444,0.77918,0.743,0.44592,1.31091,0.000462259,0.000462259,0.000462259
75,7871.26,0.69851,0.5134,1.2241,0.92969,0.92626,0.95267,0.78042,0.74902,0.45384,1.3109,0.000445756,0.000445756,0.000445756
76,7977.75,0.68197,0.50113,1.21341,0.93991,0.91935,0.95301,0.78084,0.74312,0.4459,1.30635,0.000429253,0.000429253,0.000429253
77,8081.91,0.68561,0.50654,1.22056,0.91928,0.92663,0.94887,0.77807,0.73876,0.44803,1.30481,0.000412749,0.000412749,0.000412749
78,8184.8,0.6726,0.49408,1.20581,0.93001,0.93264,0.95564,0.78545,0.73226,0.44928,1.29552,0.000396246,0.000396246,0.000396246
79,8291.52,0.68415,0.49996,1.21158,0.92617,0.93495,0.95578,0.781,0.73926,0.44666,1.30806,0.000379743,0.000379743,0.000379743
80,8394.37,0.6853,0.50479,1.21784,0.93121,0.92927,0.95381,0.78036,0.72795,0.43526,1.29395,0.000363239,0.000363239,0.000363239
81,8499.07,0.67207,0.48668,1.21051,0.94359,0.92128,0.95634,0.78436,0.7363,0.42979,1.29614,0.000346736,0.000346736,0.000346736
82,8602,0.66827,0.48526,1.20332,0.93586,0.92141,0.95634,0.78747,0.72041,0.43012,1.28595,0.000330233,0.000330233,0.000330233
83,8707.47,0.66466,0.48054,1.19974,0.94346,0.91731,0.95306,0.78449,0.72889,0.44271,1.29072,0.000313729,0.000313729,0.000313729
84,8811.28,0.66833,0.48422,1.19763,0.93381,0.92722,0.95289,0.78771,0.72698,0.43862,1.29011,0.000297226,0.000297226,0.000297226
85,8915.18,0.65759,0.48797,1.19629,0.94458,0.92207,0.95681,0.7874,0.72116,0.42971,1.28351,0.000280723,0.000280723,0.000280723
86,9019.33,0.65445,0.4755,1.19775,0.94449,0.9225,0.95823,0.78659,0.72495,0.43212,1.28816,0.00026422,0.00026422,0.00026422
87,9124.25,0.65348,0.46407,1.19133,0.94934,0.92095,0.95855,0.78826,0.72649,0.42697,1.29111,0.000247716,0.000247716,0.000247716
88,9227.47,0.65494,0.46112,1.1934,0.94472,0.92683,0.95756,0.78936,0.72702,0.43277,1.28899,0.000231213,0.000231213,0.000231213
89,9334.02,0.64778,0.46395,1.18602,0.93193,0.93846,0.95619,0.78686,0.7309,0.43142,1.29488,0.00021471,0.00021471,0.00021471
90,9436.41,0.65526,0.46789,1.19569,0.93816,0.9338,0.95654,0.7891,0.72531,0.43155,1.29448,0.000198206,0.000198206,0.000198206
91,9543.01,0.54086,0.35449,1.19186,0.93241,0.93359,0.95591,0.78717,0.72427,0.43017,1.29013,0.000181703,0.000181703,0.000181703
92,9643.43,0.52863,0.32232,1.18538,0.93456,0.93013,0.9564,0.79066,0.7192,0.42861,1.28189,0.0001652,0.0001652,0.0001652
93,9746.88,0.52519,0.32502,1.18316,0.94113,0.92756,0.95787,0.79174,0.71675,0.42163,1.28101,0.000148696,0.000148696,0.000148696
94,9846.81,0.51787,0.30982,1.17081,0.94496,0.92372,0.95696,0.79357,0.7124,0.42212,1.27311,0.000132193,0.000132193,0.000132193
95,9949.33,0.51071,0.31324,1.17468,0.94469,0.91538,0.95443,0.79163,0.70844,0.42494,1.27461,0.00011569,0.00011569,0.00011569
96,10049.3,0.50521,0.30774,1.16171,0.94212,0.91967,0.9552,0.79224,0.70613,0.424,1.27031,9.91865e-05,9.91865e-05,9.91865e-05
97,10150.6,0.49819,0.29931,1.15662,0.94517,0.92196,0.95727,0.79469,0.70596,0.421,1.26892,8.26832e-05,8.26832e-05,8.26832e-05
98,10252,0.4977,0.29961,1.14678,0.94299,0.92286,0.95844,0.79554,0.70576,0.4207,1.27,6.61799e-05,6.61799e-05,6.61799e-05
99,10353.6,0.49448,0.29784,1.15169,0.94114,0.9236,0.95776,0.79706,0.7056,0.42283,1.27007,4.96766e-05,4.96766e-05,4.96766e-05
100,10453,0.48806,0.29624,1.14647,0.93787,0.92885,0.95885,0.79745,0.70223,0.41876,1.26587,3.31733e-05,3.31733e-05,3.31733e-05
