epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.953,0.97325,1.55143,1.4597,0.63502,0.65389,0.64233,0.28335,1.66898,2.12227,2.54566,0.000663212,0.000663212,0.000663212
2,186.414,1.1157,1.15672,1.56364,0.80488,0.68829,0.78263,0.47262,1.30595,1.43067,2.13928,0.00131232,0.00131232,0.00131232
3,271.485,1.14641,1.06146,1.58029,0.47759,0.46999,0.41397,0.1784,2.01445,2.843,2.68734,0.00194384,0.00194384,0.00194384
4,352.953,1.09498,0.95537,1.53209,0.78818,0.77227,0.77981,0.50511,1.21875,1.10429,1.98702,0.0019208,0.0019208,0.0019208
5,435.109,1.06724,0.88753,1.52016,0.90734,0.78692,0.88413,0.6069,1.13056,0.83602,1.82681,0.0018944,0.0018944,0.0018944
6,518.755,1.01657,0.83226,1.4766,0.83538,0.76325,0.84981,0.56019,1.17681,0.89041,1.88478,0.001868,0.001868,0.001868
7,600.627,1.03589,0.83202,1.4887,0.81738,0.77339,0.85631,0.58593,1.12915,0.8488,1.80907,0.0018416,0.0018416,0.0018416
8,682.197,1.00592,0.7955,1.46711,0.82705,0.75536,0.84305,0.58065,1.1672,0.88551,1.9247,0.0018152,0.0018152,0.0018152
9,764.591,0.99001,0.77807,1.45324,0.87302,0.78354,0.8666,0.57952,1.21193,0.81058,1.92382,0.0017888,0.0017888,0.0017888
10,844.809,0.9832,0.73951,1.43646,0.93351,0.87062,0.92302,0.66564,1.02838,0.64535,1.77774,0.0017624,0.0017624,0.0017624
11,925.055,0.95043,0.7098,1.42019,0.90759,0.81937,0.89927,0.63981,1.07991,0.73197,1.80772,0.001736,0.001736,0.001736
12,1005.05,0.94403,0.71454,1.41645,0.92171,0.8602,0.91579,0.67039,0.9786,0.6327,1.70046,0.0017096,0.0017096,0.0017096
13,1087.13,0.92311,0.68328,1.39905,0.91245,0.88123,0.92907,0.6634,0.99803,0.6338,1.70693,0.0016832,0.0016832,0.0016832
14,1167.79,0.92158,0.68967,1.40291,0.91939,0.87431,0.92946,0.67612,0.97718,0.61714,1.6761,0.0016568,0.0016568,0.0016568
15,1249.14,0.90461,0.65986,1.38694,0.91183,0.85108,0.91691,0.66883,0.97322,0.65054,1.66503,0.0016304,0.0016304,0.0016304
16,1331.52,0.91263,0.6714,1.38579,0.89845,0.82784,0.90839,0.6711,0.97309,0.69477,1.65232,0.001604,0.001604,0.001604
17,1412.1,0.88794,0.65441,1.37485,0.93895,0.85569,0.92383,0.68802,0.96015,0.6093,1.66582,0.0015776,0.0015776,0.0015776
18,1492.42,0.88225,0.62969,1.36861,0.92043,0.88683,0.94355,0.70428,0.9268,0.57425,1.59958,0.0015512,0.0015512,0.0015512
19,1577.74,0.88817,0.64149,1.37021,0.92783,0.87937,0.93587,0.70419,0.9077,0.56705,1.58271,0.0015248,0.0015248,0.0015248
20,1657.82,0.86353,0.621,1.3546,0.91002,0.8805,0.93682,0.6877,0.94908,0.60361,1.63794,0.0014984,0.0014984,0.0014984
21,1738,0.875,0.61281,1.36718,0.91458,0.89328,0.93584,0.70235,0.89762,0.56675,1.60061,0.001472,0.001472,0.001472
22,1818.73,0.86206,0.60972,1.35562,0.9077,0.85118,0.9229,0.6657,0.99393,0.64774,1.65949,0.0014456,0.0014456,0.0014456
23,1901.12,0.85232,0.59889,1.33871,0.93318,0.89747,0.94886,0.71313,0.89076,0.53399,1.56443,0.0014192,0.0014192,0.0014192
24,1982.26,0.84739,0.59349,1.339,0.93484,0.88613,0.94444,0.71297,0.88062,0.55427,1.56225,0.0013928,0.0013928,0.0013928
25,2063.02,0.84165,0.58256,1.33713,0.93237,0.8805,0.93411,0.71418,0.87913,0.54404,1.57956,0.0013664,0.0013664,0.0013664
26,2145.24,0.84896,0.58101,1.34407,0.94157,0.8902,0.95067,0.70952,0.88957,0.54163,1.57631,0.00134,0.00134,0.00134
27,2225.89,0.82964,0.57158,1.32824,0.91679,0.90079,0.9445,0.72074,0.88951,0.53223,1.58555,0.0013136,0.0013136,0.0013136
28,2305.12,0.83491,0.58528,1.33075,0.93572,0.88619,0.94987,0.7308,0.83733,0.50934,1.51116,0.0012872,0.0012872,0.0012872
29,2386.72,0.8192,0.57185,1.31934,0.94834,0.89002,0.94163,0.71467,0.87964,0.53791,1.5468,0.0012608,0.0012608,0.0012608
30,2465.61,0.82741,0.5675,1.32686,0.94737,0.89294,0.95043,0.72343,0.85819,0.50606,1.5208,0.0012344,0.0012344,0.0012344
31,2546.23,0.82049,0.55699,1.31991,0.94521,0.89515,0.94669,0.73357,0.84418,0.495,1.52698,0.001208,0.001208,0.001208
32,2626.46,0.80918,0.55009,1.31479,0.91578,0.88162,0.93195,0.70503,0.90911,0.58664,1.55456,0.0011816,0.0011816,0.0011816
33,2707.99,0.82557,0.56221,1.32025,0.89245,0.90192,0.93154,0.70915,0.86326,0.51714,1.53001,0.0011552,0.0011552,0.0011552
34,2788.48,0.80961,0.54527,1.30536,0.92846,0.90192,0.95018,0.74125,0.83367,0.50023,1.49663,0.0011288,0.0011288,0.0011288
35,2867.41,0.80505,0.54691,1.30463,0.93472,0.90393,0.94881,0.738,0.8342,0.49908,1.48808,0.0011024,0.0011024,0.0011024
36,2948.42,0.79426,0.5339,1.30275,0.93408,0.91061,0.95012,0.74244,0.81928,0.48389,1.48386,0.001076,0.001076,0.001076
37,3027.83,0.79349,0.52911,1.2993,0.94452,0.9053,0.9547,0.73749,0.82752,0.48367,1.50248,0.0010496,0.0010496,0.0010496
38,3108.09,0.79137,0.52839,1.29555,0.93031,0.91319,0.94947,0.7346,0.84615,0.48569,1.5262,0.0010232,0.0010232,0.0010232
39,3189.26,0.79849,0.53292,1.30268,0.93119,0.89966,0.94145,0.72742,0.83898,0.50761,1.51588,0.0009968,0.0009968,0.0009968
40,3268,0.79481,0.52381,1.29944,0.92762,0.9053,0.94946,0.73617,0.83132,0.48617,1.5093,0.0009704,0.0009704,0.0009704
41,3346.72,0.78672,0.51516,1.29139,0.94227,0.90171,0.95375,0.72941,0.86807,0.48331,1.54553,0.000944,0.000944,0.000944
42,3426.23,0.77254,0.51891,1.28066,0.94465,0.91657,0.95287,0.73993,0.82847,0.48914,1.49667,0.0009176,0.0009176,0.0009176
